location_id,year,month,rainfall_mm,drought_index,flood_risk
TAMIL NADU,1941,8,84.7,,
TAMIL NADU,1941,9,166.4,,
TAMIL NADU,1941,10,148.1,,
TAMIL NADU,1941,11,216.4,,
TAMIL NADU,1941,12,107.5,,
TAMIL NADU,1942,1,0.5,,
TAMIL NADU,1942,2,0.6,,
TAMIL NADU,1942,3,6.0,,
TAMIL NADU,1942,4,78.6,,
TAMIL NADU,1942,5,61.3,,
TAMIL NADU,1942,6,53.1,,
TAMIL NADU,1942,7,54.9,,
TAMIL NADU,1942,8,110.1,,
TAMIL NADU,1942,9,120.8,,
TAMIL NADU,1942,10,146.5,,
TAMIL NADU,1942,11,68.0,,
TAMIL NADU,1942,12,146.9,,
TAMIL NADU,1943,1,112.0,,
TAMIL NADU,1943,2,18.5,,
TAMIL NADU,1943,3,10.8,,
TAMIL NADU,1943,4,72.1,,
TAMIL NADU,1943,5,204.4,,
TAMIL NADU,1943,6,43.2,,
TAMIL NADU,1943,7,75.3,,
TAMIL NADU,1943,8,78.8,,
TAMIL NADU,1943,9,101.1,,
TAMIL NADU,1943,10,310.6,,
TAMIL NADU,1943,11,117.4,,
TAMIL NADU,1943,12,43.2,,
TAMIL NADU,1944,1,18.4,,
TAMIL NADU,1944,2,34.6,,
TAMIL NADU,1944,3,83.5,,
TAMIL NADU,1944,4,32.7,,
TAMIL NADU,1944,5,46.1,,
TAMIL NADU,1944,6,81.8,,
TAMIL NADU,1944,7,73.8,,
TAMIL NADU,1944,8,104.7,,
TAMIL NADU,1944,9,143.5,,
TAMIL NADU,1944,10,188.8,,
TAMIL NADU,1944,11,288.8,,
TAMIL NADU,1944,12,130.9,,
TAMIL NADU,1945,1,4.6,,
TAMIL NADU,1945,2,5.5,,
TAMIL NADU,1945,3,5.0,,
TAMIL NADU,1945,4,74.7,,
TAMIL NADU,1945,5,38.2,,
TAMIL NADU,1945,6,22.0,,
TAMIL NADU,1945,7,75.1,,
TAMIL NADU,1945,8,110.1,,
TAMIL NADU,1945,9,58.6,,
TAMIL NADU,1945,10,168.4,,
TAMIL NADU,1945,11,206.8,,
TAMIL NADU,1945,12,15.0,,
TAMIL NADU,1946,1,19.8,,
TAMIL NADU,1946,2,1.0,,
TAMIL NADU,1946,3,46.4,,
TAMIL NADU,1946,4,45.7,,
TAMIL NADU,1946,5,76.4,,
TAMIL NADU,1946,6,56.8,,
